Category	English	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali	Nepali	Japanese	Korean	Turkish	Yoruba	Basque	Swahili	Chinese	
Production occupations	Plastic worker	pekerja plastik	plasttöötaja	muovi työntekijä	műanyag munkás	պլաստիկ աշխատող	প্লাস্টিক কর্মী	प्लास्टिक कामदार	プラスチック労働者	플라스틱 노동자	?	?	plastikozko langilea	mfanyakazi wa plastiki	塑料工人	
Production occupations	Plating and coating machine setters, operators, and tenders, metal and plastic	penyaduran dan penyalut mesin salutan, pengendali, dan tender, logam dan plastik	plasti- ja katmismasinate seadistajad, operaatorid ja pakkumised, metall ja plast	pinnoitus- ja päällystyskoneiden asentajat, toimijat ja tarjoukset, metalli- ja muoviosat	plating és bevonógép-szettek, szolgáltatók és tenderek, fémek és műanyagok	պլաստմասսայե եւ ծածկույթների մեքենաների տեղադրում, օպերատորներ եւ մրցույթներ, մետաղական եւ պլաստիկ	কলাই এবং লেপ মেশিন setters, অপারেটর, এবং দরপত্র, ধাতু এবং প্লাস্টিকের	प्लेटिंग र कोटिंग मिसिन कन्वर्टर्स, ओपरेटरहरु, र निविदाहरु, धातु र प्लास्टिक कोटिंग	メッキおよびコーティング機セッター、オペレーターおよび入札、金属およびプラスチック	?	kaplama ve kaplama makinesi ayarlayıcıları, operatörler ve ihaleler, metal ve plastik	fifẹ ati awọn apẹrẹ awọn ẹrọ, ti awọn oniṣẹ, ati awọn ifunwa, irin ati ṣiṣu	estaldura eta estaldura makinak, operadoreak eta lizitazioak, metalak eta plastikoak	?	电镀和镀膜机安装工，操作员和招标，金属和塑料	
Production occupations	Polishing machine tool operator	pengilat alat mesin penggilap	poleerimismasin tööriistade operaator	kiillotuskoneistotyökalu	polírozó szerszámgépkezelő	փայլեցնում մեքենայի գործիք օպերատոր	মসৃণতা মেশিন টুল অপারেটর	?	研磨機ツールオペレータ	연마 기계 공구 운전자	?	olutọpa ọpa ẹrọ ọpa	leuntzeko makina-erreminta operadorea	polishing tool tool operator	抛光机床操作员	
Production occupations	Polishing machine tool setter	penggiling alat mesin penggilap	poleerimismasinate tööriista setter	kiillotuskoneistotyökalu	polírozó szerszámbeállító	?	মসৃণতা মেশিন টুল সেটার	चमकदार मिसिन उपकरण सेटर	研磨機ツールセッター	연마기 공구 세터	parlatma makinesi aracı belirleyici	polishing machine ọpa ọpa	?	seti ya chombo cha kupigia mashine	抛光机床安装工	
Production occupations	Polishing machine tool tender	tender alat mesin penggilap	poleerimismasina tööpakkumine	kiillotuskoneiden tarjouskilpailu	polírozó szerszámgép tender	փայլեցնում մեքենա գործիք մրցույթի	মসৃণতা মেশিন টুল দরপত্র	चमडा गर्ने उपकरण उपकरण निविदा	研磨機ツール入札	연마기 공구 부드러운	parlatma makinesi aracı ihale	polishing machine ọpa tutu	makina erreminta leunketa	chombo cha kuchapisha chombo cha mashine	抛光机床招标	
Production occupations	Polishing worker	pekerja penggilap	poleerimis töötaja	?	polírozó munkás	փայլեցնող աշխատող	মসৃণতা কর্মী	पोलिश कार्यकर्ता	?	연마 노동자	parlatma işçisi	olutọju ọṣọ	langilea garbiketa	mfanyakazi wa polishing	抛光工人	
Production occupations	Poultry processing worker	pekerja pemprosesan ayam	kodulindude töötleja	siipikarjankäsittelyn työntekijä	baromfi feldolgozó	թռչնաֆաբրիկայի վերամշակող աշխատող	পোল্ট্রি প্রসেসিং কর্মী	कुखुरा प्रसंस्करण कार्यकर्ता	家禽処理労働者	가금 가공 노동자	kümes hayvanları işleme işçisi	oṣiṣẹ alagba adie	hegaztien prozesatzeko langilea	mfanyakazi wa usindikaji wa kuku	?	
Production occupations	Power plant dispatcher	penghantar loji kuasa	elektrijaama dispetšer	voimalaitoslähettäjä	erőművi diszpécser	էլեկտրակայանի դիսպետչեր	পাওয়ার প্ল্যান্ট ডিসপোজার	पावर प्लाटर डिस्पचर	発電所の運航者	발전소 운영자	santral santrali dağıtıcısı	ohun elo ọgbin dispatcher	zentralen banatzailea	mtangazaji wa nguvu ya kupanda	电厂调度员	
Production occupations	Power plant distributor	pengedar loji kuasa	elektrijaama turustaja	voimalaitosjakelija	erőművi forgalmazó	էլեկտրակայանի դիստրիբյուտոր	বিদ্যুৎ প্ল্যান্ট পরিবেশক	पावर प्लाटर वितरक	発電所の販売代理店	발전소 배급 자	enerji santrali dağıtıcısı	ohun elo eroja ọgbin	zentral banatzailea	mgawanyiko wa kupanda nguvu	电厂分销商	
Production occupations	Power plant operator	?	elektrijaama operaator	voimalaitosoperaattori	?	էլեկտրակայանի օպերատոր	পাওয়ার প্ল্যান্ট অপারেটর	पावर प्लान्ट अपरेटर	発電所オペレータ	발전소 운영자	santral operatörü	?	zentral operadorea	?	电厂运营商	
Production occupations	Precious stone worker	pekerja batu berharga	kalliskivi töötaja	jalokivityö	drágakő munkás	թանկարժեք քարե աշխատող	মূল্যবান পাথরকর্মী	कीमती पत्थर कार्यकर्ता	貴重な石の労働者	보석 세공인	değerli taş işçisi	okuta oniyebiye iyebiye	harrizko harrizko langilea	?	宝石工人	
Production occupations	Prepress technician	juruteknik prepress	ettevalmistamise tehnik	?	előkészítő technikus	prepress տեխնիկ	?	prepress technician	技師を準備する	기술자 prepress	baskı öncesi teknisyeni	oniṣowo onilẹkọ	aurreinprimaketa teknikaria	mwangaji wa prepress	印前技术员	
Production occupations	Prepress worker	pekerja prepress	prepress töötaja	prepress työntekijä	előkészítő munkás	կանխարգելիչ աշխատող	প্রাক্তন কর্মী	कामदार	労働者を雇う	작업자 사전 준비	baskı öncesi işçi	akọkọ igbimọ	aurreinprimaketa langilea	mfanyakazi wa maandalizi	印前工作者	
Production occupations	Press machine operator	pengendali mesin akhbar	vajutage masina operaatorit	paina koneenkäyttäjä	nyomja meg a gépkezelőt	?	প্রেস মেশিন অপারেটর	प्रेस मिसिन परिचालक	プレス機械オペレータ	프레스 기계 운전자	basın makine operatörü	oniṣẹ ẹrọ iṣakoso tẹ	?	bonyeza mashine ya mashine	压机操作员	
Production occupations	Pressing machine operator	?	pressimismasina operaator	painamalla koneoperaattoria	nyomja meg a gépkezelőt	սեղմելով մեքենայի օպերատորը	টিপে মেশিন অপারেটর	मेशिन परिचालक थिच्दै	プレス機械オペレータ	프레스 기계 운전자	presleme makinesi operatörü	oniṣẹ ẹrọ onisẹ ẹrọ	makina operadorea sakatuz	operator mashine kubwa	?	
Production occupations	Pressing machine setter	menekan setter mesin	pressimisseadme setter	painamalla koneen asetin	nyomja meg a gépet	սեղմելով մեխանիկական սեթեր	টিপে মেশিন সেটার	मेशिन सेटर थिच्दै	プレス機械セッター	?	presleme makinesi ayarlayıcısı	titẹ olutẹ ẹrọ	makina setter sakatuz	setter mashine kubwa	压机设定器	
Production occupations	Pressing machine tender	menekan mesin lembut	?	puristus kone tarjous	nyomja meg a gépet	սեղմելով մեքենայի մրցումներին	টিপে মেশিন টেন্ডার	मिसिन टेंडर थिच्दै	プレス機械	프레스 기계 부드러운	presleme makinesi ihalesi	?	makina samurra sakatuz	zabuni za mashine	压机招标	
Production occupations	Print binding worker	pekerja mengikat cetak	prindi siduv töötaja	tulostus sitova työntekijä	nyomtatási kötőmunkás	տպագիր պարտադիր աշխատող	মুদ্রণ বাঁধাই কর্মী	मुद्रण बाध्यकारी कार्यकर्ता	バインディングワーカーを印刷する	인쇄 제본업자	?	tẹ sita ti oṣiṣẹ paṣiṣẹ	inprimatu loteslea langilea	chapisha mfanyakazi wa kumfunga	打印绑定工作者	
Production occupations	Print finishing worker	cetak kemasan pekerja	prindi viimistlustööline	tulosta viimeistelijä	nyomtatás befejező munkás	?	মুদ্রণ সমাপ্তি কর্মী	प्रिन्ट फिनिशिंग कार्यकर्ता	印刷仕上げ作業者	?	baskı bitirme işçisi	tẹ onisẹ kika kika	inprimatu langilea amaitu da	magazeti ya kumaliza kazi	打印完成工作者	
Production occupations	Printing press operator	pengendali akhbar cetak	trükipressi operaator	painokone operaattori	nyomdagép kezelő	տպագրական մամուլի օպերատոր	প্রিন্টিং প্রেস অপারেটর	मुद्रण प्रेस अपरेटर	印刷機オペレータ	인쇄기 조작원	matbaa makinesi	oniṣẹ ẹrọ titẹ sita	inprimatzeko operadorea	uchapishaji wa waandishi wa habari	印刷机操作员	
Production occupations	Production worker	pekerja pengeluaran	tootmise töötaja	?	?	արտադրական աշխատող	উৎপাদন কর্মী	उत्पादन कार्यकर्ता	生産労働者	생산 노동자	üretim çalışanı	oṣiṣẹ ti n ṣiṣẹ	ekoizpen-langilea	mfanyakazi wa uzalishaji	生产工人	
Production occupations	Production worker helper	pembantu pekerja pengeluaran	tootmise töötaja abimees	tuotantotyöntekijöiden avustaja	termelő munkás segítője	?	উৎপাদন কর্মী সাহায্যকারী	उत्पादन कार्यकर्ता सहायक	生産労働者ヘルパー	생산 노동자 도우미	üretim işçisi yardımcısı	ṣiṣẹ oluranlọwọ oluranlowo	ekoizpen laguntzailea	mfanyakazi wa uzalishaji wa uzalishaji	生产工人帮手	
Production occupations	Punching machine operator	pengendali mesin menumbuk	mulgustamiseks masina operaator	lävistys koneen käyttäjälle	lyukasztó gépkezelő	punching մեքենայի օպերատոր	পিনিং মেশিন অপারেটর	छिद्रण परिचालन परिचालक	パンチングマシンオペレータ	펀칭 기계 운전자	?	oniṣẹ ẹrọ ti npa	eskopeta makina operadorea	mashine ya kupiga moto	冲孔机操作员	
Production occupations	Roasting machine operator	pengendali mesin pemanggang	röstimismasina operaator	paistinkoneoperaattori	pörkölő gép üzemeltetője	աղացած մեքենայի օպերատոր	?	बरसात मिसिन अपरेटर	焙煎機オペレーター	로스팅 기계 운전자	kavurma makinesi operatörü	ẹrọ onisẹ ẹrọ	makina operadorea	operator operator kuchochea	烘烤机操作员	
Production occupations	Roasting machine tender	?	?	?	pörkölőgép ajánlatot	?	রোস্টিং মেশিন টেন্ডার	प्रवाह मिसिन टेंडर	焙煎機入札	구이 기계 부드러운	?	ẹrọ gbigbẹ tutu	makina erretzeko makinak	kuchochea mashine zabuni	焙烧机招标	
Production occupations	Rolling machine operator	operator mesin rolling	?	liikkuvan koneen käyttäjä	gördülő gépkezelő	շարժակազմի մեքենայի օպերատոր	রোলিং মেশিন অপারেটর	रोलिंग मिसिन अपरेटर	?	?	haddeleme makinesi operatörü	oniṣẹ ẹrọ oniṣipopada	makina operadorea	operator rolling mashine	轧机操作员	
